State,Num Tweets,Num France,Num Belgium,Num England,Num Croatia,Fra Frac,Bel Frac,Eng Frac,Cro Frac,F Frac Err,B Frac Err,E Frac Err,C Frac Err
Alaska,3,0,1,0,2,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.2722700184797492,0.0,0.27224389560342827
Alabama,15,2,2,5,6,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.4,0.086574158993668,0.086574158993668,0.1206886984489158,0.12501630233937117
Arkansas,7,0,2,1,4,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.1708635194776222,0.1313832155147681,0.17642453653712165
Arizona,38,1,10,11,16,0.02631578947368421,0.2631578947368421,0.2894736842105263,0.42105263157894735,0.02590546775783769,0.06901855755162305,0.07105835598793996,0.0749627095589341
California,394,36,80,126,152,0.09137055837563451,0.20304568527918782,0.3197969543147208,0.38578680203045684,0.014472343737926018,0.01997862523652588,0.02327950386670091,0.02398551253120003
Colorado,42,3,9,16,14,0.07142857142857142,0.21428571428571427,0.38095238095238093,0.3333333333333333,0.03933883522157165,0.06096111158225945,0.07185896146463706,0.07036777999444599
Connecticut,11,1,0,6,4,0.09090909090909091,0.0,0.5454545454545454,0.36363636363636365,0.08529651724901523,0.0,0.15032939994721997,0.14522723034088378
District of Columbia,33,4,7,7,15,0.12121212121212122,0.21212121212121213,0.21212121212121213,0.45454545454545453,0.05637252754095035,0.07004679196687458,0.07004679196687458,0.08203996406352512
Delaware,2,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Florida,164,25,35,57,47,0.1524390243902439,0.21341463414634146,0.3475609756097561,0.2865853658536585,0.027504899506891296,0.030968619614331703,0.03590666486908905,0.03448089986346537
Georgia,87,10,11,31,35,0.11494252873563218,0.12643678160919541,0.3563218390804598,0.40229885057471265,0.03365007260655851,0.034993925521634175,0.050504228608489986,0.05144074246011567
Hawaii,5,2,0,3,0,0.4,0.0,0.6,0.0,0.19981960910445326,0.0,0.21924040503520334,0.0
Iowa,17,1,3,5,8,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.47058823529411764,0.05679683786674706,0.09092557842044661,0.10894700177825717,0.1171826491104977
Idaho,4,0,1,0,3,0.0,0.25,0.0,0.75,0.0,0.2165998614958006,0.0,0.21657648427846396
Illinois,98,9,20,34,35,0.09183673469387756,0.20408163265306123,0.3469387755102041,0.35714285714285715,0.02883036003109992,0.03942104769553337,0.046439968480759375,0.04665526956950043
Indiana,31,0,7,11,13,0.0,0.22580645161290322,0.3548387096774194,0.41935483870967744,0.0,0.07249102533298651,0.08281258912217382,0.08429587552399884
Kansas,12,1,3,2,6,0.08333333333333333,0.25,0.16666666666666666,0.5,0.07963756269815069,0.12409917753897587,0.10651289068578286,0.13665880727871296
Kentucky,26,1,8,9,8,0.038461538461538464,0.3076923076923077,0.34615384615384615,0.3076923076923077,0.037553035857907396,0.0859369057690871,0.08846285035439566,0.0866162184068949
Louisiana,15,4,1,5,5,0.26666666666666666,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.11041410910074075,0.06400243785486007,0.12188135084265189,0.12188135084265189
Massachusetts,67,7,15,25,20,0.1044776119402985,0.22388059701492538,0.373134328358209,0.29850746268656714,0.03679430211441274,0.04889550299501074,0.05644521601456863,0.05420154529664405
Maryland,47,4,9,19,15,0.0851063829787234,0.19148936170212766,0.40425531914893614,0.3191489361702128,0.0401597678652879,0.05538537022333462,0.06873482696252743,0.06621301238807548
Maine,7,3,0,3,1,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,0.1739968545889717,0.0,0.18719390842191078,0.13230897918324158
Michigan,37,4,8,13,12,0.10810810810810811,0.21621621621621623,0.35135135135135137,0.32432432432432434,0.0503215374447852,0.06541807702637811,0.07571017931783514,0.07457642769882682
Minnesota,42,4,7,14,17,0.09523809523809523,0.16666666666666666,0.3333333333333333,0.40476190476190477,0.0447685407401124,0.056209024360160016,0.07110966896391167,0.07333000890401781
Missouri,31,2,6,8,15,0.06451612903225806,0.1935483870967742,0.25806451612903225,0.4838709677419355,0.043900738068745164,0.06966284603549688,0.07720661664857263,0.08507409517868914
Mississippi,5,1,1,1,2,0.2,0.2,0.2,0.4,0.17894081237566767,0.17894081237566767,0.17894081237566767,0.21918575075642036
Montana,6,1,1,2,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.15069875292079207,0.15069875292079207,0.19254936803660538,0.19254936803660538
North Carolina,67,4,8,29,26,0.05970149253731343,0.11940298507462686,0.43283582089552236,0.3880597014925373,0.02865847216842604,0.038757160065954886,0.059159107814769706,0.05848153801973346
North Dakota,2,0,0,1,1,0.0,0.0,0.5,0.5,0.0,0.0,0.3536551993114197,0.3536551993114197
Nebraska,21,2,4,7,8,0.09523809523809523,0.19047619047619047,0.3333333333333333,0.38095238095238093,0.06339563389642114,0.08367646168595867,0.10058329088995908,0.10302701010801378
New Hampshire,8,1,2,3,2,0.125,0.25,0.375,0.25,0.11563173402428042,0.14907646244074796,0.16747986355340436,0.15130139853340116
New Jersey,71,6,18,32,15,0.08450704225352113,0.2535211267605634,0.4507042253521127,0.2112676056338028,0.03250086004111139,0.0485056566087626,0.054541483788934905,0.04739974396501941
New Mexico,7,0,4,0,3,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.18722850731798238,0.0,0.16592686183266356
Nevada,30,4,6,9,11,0.13333333333333333,0.2,0.3,0.36666666666666664,0.061179771360074034,0.07131104136055136,0.0817230975981062,0.08514925707428964
New York,220,21,44,85,70,0.09545454545454546,0.2,0.38636363636363635,0.3181818181818182,0.019577521853044115,0.026117362801299948,0.0316945179390606,0.030732057688779152
Ohio,54,3,8,23,20,0.05555555555555555,0.14814814814814814,0.42592592592592593,0.37037037037037035,0.030891499148949828,0.04702350325519147,0.06523633067447247,0.06419792667903737
Oklahoma,19,1,7,4,7,0.05263157894736842,0.3684210526315789,0.21052631578947367,0.3684210526315789,0.05109623648090517,0.1074131035385608,0.09073667891073206,0.1031812999243689
Oregon,27,2,5,10,10,0.07407407407407407,0.18518518518518517,0.37037037037037035,0.37037037037037035,0.04992111411470344,0.07268617335471321,0.09033278914916927,0.09033278914916927
Pennsylvania,68,8,14,22,24,0.11764705882352941,0.20588235294117646,0.3235294117647059,0.35294117647058826,0.038501644456723,0.04758895462137826,0.05497785036144401,0.055866213967714864
Puerto Rico,4,0,2,1,1,0.0,0.5,0.25,0.25,0.0,0.25009897911064444,0.2112166016028388,0.2112166016028388
Rhode Island,7,0,3,4,0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.16592686183266356,0.16303515724395112,0.0
South Carolina,23,2,5,12,4,0.08695652173913043,0.21739130434782608,0.5217391304347826,0.17391304347826086,0.057741568953300834,0.0815675178628414,0.09731498918065082,0.07813656222694203
South Dakota,1,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee,46,6,10,13,17,0.13043478260869565,0.21739130434782608,0.2826086956521739,0.3695652173913043,0.04898440228722175,0.0592441249880698,0.0646560978643961,0.06828660494887076
Texas,222,25,44,71,82,0.11261261261261261,0.1981981981981982,0.31981981981981983,0.36936936936936937,0.02100280637379405,0.026153725021237476,0.030635799282746366,0.031405983156547655
Utah,16,1,7,5,3,0.0625,0.4375,0.3125,0.1875,0.06018697135594759,0.11556780273536899,0.10861646812305849,0.09454985919138038
Virginia,52,3,9,26,14,0.057692307692307696,0.17307692307692307,0.5,0.2692307692307692,0.031963696173777374,0.05034197384612135,0.06557891235163817,0.06046329331700425
Vermont,2,0,0,2,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Washington,49,2,8,18,21,0.04081632653061224,0.16326530612244897,0.3673469387755102,0.42857142857142855,0.02811656040071119,0.0514690233595817,0.06706821403047947,0.06820406910655831
Wisconsin,32,2,8,13,9,0.0625,0.25,0.40625,0.28125,0.042397703375027504,0.07287004887900855,0.08213883189080658,0.07713225672631373
West Virginia,9,0,1,3,5,0.0,0.1111111111111111,0.3333333333333333,0.5555555555555556,0.0,0.10386877709536835,0.15728938476709556,0.16580352580650137
Wyoming,0,0,0,0,0,,,,,,,,
